	TYPE	FIRMA	TİP	MODEL	GUC	KAPASİTE	SASE SERI NO	MOTOR SERI NO
No								
170	KAMYON	MAN	TGS 41.460 8X4 BB M Otm.	2018	460 HP	26 m3	WMA39SZZ4JM757349	51548351184833
171	KAMYON	MAN	TGS 41.460 8X4 BB M Otm.	2018	460 HP	26 m3	WMA39SZZ7JM757359	51548351324833
172	KAMYON	MAN	TGS 33.420 6X4 BB M Otm.	2018	420 HP	11,5 m3	WMA26SZZ1JM756552	51548302024833
173	KAMYON	MAN	TGS 33.420 6X4 BB M Otm.	2018	420 HP	11,5 m3	WMA26SZZ8JM761747	51548831634886
174	KAMYON	MAN	TGS 33.420 6X4 BB M Otm.	2018	420 HP	11,5 m3	WMA26SZZ3JM761803	51548832304886
175	KAMYON	MAN	TGS 33.420 6X4 BB EM C Otm.	2018	420 HP	11,5 m3	WMA26SZZ6KP113131	51551482825145
176	KAMYON	MAN	TGS 33.420 6X4 BB EM C Otm.	2018	420 HP	11,5 m3	WMA26SZZ2KP113143	51551483045145
177	KAMYON	MAN	TGS 41.460 8x4 BB Manuel	2019	460 HP	26 m3	WMA39SZZ6JM757417	51548351964833
178	KAMYON	MAN	TGS 41.460 8x4 BB Manuel	2019	460 HP	26 m3	WMA39SZZ7JM757426	51548352064833
179	KAMYON	Ford	4142D 8x4 DCAB E6	2020	420 HP	26 m3	NM0MKXTP6MLB91756	LA91756
180	KAMYON	Ford	4142D 8x4 DCAB E6	2020	420 HP	26 m3	NM0MKXTP6MLB91757	LA91757
181	KAMYON	Ford	4142D 8x4 DCAB E6	2020	420 HP	26 m3	NM0MKXTP6MLB91780	LA91780
182	KAMYON	Ford	4142D 8x4 DCAB E6	2020	420 HP	26 m3	NM0MKXTP6MLA93126	LA93126
183	KAMYON	MAN	TGS 33.420 6X4 BB M Otm.	2018	420 HP	11,5 m3	WMA26SZZXJP110490	51551113435112
184	KAMYON	MAN	TGS 33.420 6X4 BB M Otm.	2018	420 HP	11,5 m3	WMA26SZZ6JP110678	51551132825112
185	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2021	420 HP	11,5 m3	NM0LKXTP6LMR96799	MR96799
186	KAMYON	Ford	3542D 6x4 DCAB E6 16S22	2021	420 HP	11,5 m3	NM0LKXTP6LMB96461	MB96461
187	KAMYON	Ford	3542D 6x4 DCAB E6 16S22	2021	420 HP	11,5 m3	NM0LKXTP6LMB96509	MB96509
188	YERALTI KAMYONU	Caterpillar	AD30	2021	409 HP	14,4 m3	GXR01042	TXG11092
189	YERALTI KAMYONU	Caterpillar	AD30	2021	409 HP	14,4 m3	GXR01043	TXG11096
190	KAMYON	Ford	4142D 8x4 DCAB E6	2022	420 HP	26 m3	NM0MKXTP6MME95149	ME95149
191	KAMYON	Ford	4142D 8x4 DCAB E6	2022	420 HP	26 m3	NM0MKXTP6MME95160	ME95160
192	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNT91404	NT91404
193	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNT91432	NT91432
194	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNR99458	NR99458
195	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNR99459	NR99459
196	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNR99460	NR99460
197	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNR99461	NR99461
198	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNR99462	NR99462
199	KAMYON	Ford	3542D 6x4	2020	420 HP	11,5 m3	NM0LKXTP6LLL96330	LL96330
200	KAMYON	Ford	3542D 6x4	2020	420 HP	11,5 m3	NM0LKXTP6LLL96347	LL96347
201	KAMYON	Ford	3542D 6x4	2020	420 HP	11,5 m3	NM0LKXTP6LLY97766	LY97766
202	KAMYON	Ford	4142 XD 8x4 Otm. E6	2021	420 HP	26 m3	NMOMKXTP6MMJ91444	MJ91444
203	KAMYON	Ford	4142 XD 8x4 Otm. E6	2021	420 HP	26 m3	NMOMKXTP6MMJ91513	MJ91513
204	KAMYON	Ford	4142 XD 8x4 Otm. E6	2021	420 HP	26 m3	NMOMKXTP6MMJ91515	MJ91515
205	KAMYON	Ford	3542D 6x4	2021	420 HP	11,5 m3	NM0LKXTP6LMM93624	MM93624
206	KAMYON	Ford	3542D 6x4	2021	420 HP	11,5 m3	NM0LKXTP6LMM93625	MM93625
207	KAMYON	Ford	3542D 6x4	2021	420 HP	11,5 m3	NM0LKXTP6LMM93694	MM93694
208	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNT91345	NT91345
209	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNT91346	NT91346
210	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNT91347	NT91347
211	KAMYON (Vidanjör)	Mercedes	AXOR 3028K 6X4	2008	280 HP	20 m3	NMB37537312074139	90692100744223
212	KAMYON (Personel Taşıyıcı)	Mercedes	AXOR 3028K 6X4	2008	280 HP		NMB37537312069475	90692100709808
213	KAMYON (Bakım Arabası)	Ford	Cargo 1826 	2015	191 KW	7330 m3	NM0KKXTP6KEA93996	FDB5EA93996
214	KAMYON	Mercedes	Atego 1517	2005	170 kW		NMB37512212040460	90491100428105
215	MİKSER (Tünel)	Mercedes-NT	AXOR3028	2007	280 HP	6 m3	NMB37537412064453 / 2479	90692100671355
216	MİKSER (Tünel)	Mercedes-NT	AXOR3028	2007	280 HP	6 m3	NMB37537412064405	90692100672339
217	MİKSER	D'avinio	Exclusive 450.1	2008	74,5 kW	4 m3	125384409	3778201
218	MİKSER	Dieci	F7000	2010		5 m3	D6470318	751702
219	MİKSER	Man	TGM  26.280 6X4 B	2012		8 m3	WMAN48ZZ4CY276765	-
220	MİKSER	Man 	TGM  26.280 6X4 B	2012		8 m3	WMAN48ZZ4CY276737	-
221	MİKSER	Mercedes-NT	Axor 3029	2012		6 m3	NMB37537412118030 - 1660	90291500980377
222	MİKSER	Ford-NT	3532M 6x4	2014	320 HP	6 m3	NM0LKXTP6LEJ99191- 1828	EJ99191
223	MİKSER	Ford-İmer	3532M 6x4	2014	320 HP	6 m3	NM0LKXTP6LEU99626- 2031	10122020TNB9BDHZT
224	MİKSER	Ford-NT	3532M 6x4	2014	320 HP	6 m3	NM0LKXTP6LEM90835	EM90835
225	MİKSER	Ford - NT	Cargo 3533M	2018	330 HP	6 m3	NM0LKXTP6LGY91262	GY91262
226	MİKSER	Ford - NT	Cargo 3533M	2018	330 HP	6 m3	NM0LKXTP6LGY91263	GY91263
227	MİKSER	Ford	Cargo 3542M 6x4	2020		6 m3	NM0LKXTP6LLS99232	LS99232
228	MİKSER	Ford	Cargo 3542M 6x4	2020		6 m3	NM0LKXTP6LLS99233	LS99233
229	MİKSER	Ford	Cargo 3542M 6X4 E6 12TX2	2020		6 m3	NM0LKXTP6LLT90177	LT90177
230	MİKSER	Ford	Cargo 3542M 6X4 E6 12TX2	2020		6 m3	NM0LKXTP6LLT90178	LT90178
231	MİKSER	Ford	Cargo 3542M 6x4	2021		6 m3	NM0LKXTP6LMC99848	MC99848
232	MİKSER	Ford	Cargo 3542M 6x4	2021		10 m3	NM0LKXTP6LMC99849	MC99849
233	MİKSER	Ford	Cargo 3542M 6x4	2021		6 m3	NM0LKXTP6LMC99901	MC99901
234	MİKSER	Ford	Cargo 3542M 6x4	2021		10 m3	NM0LKXTP6LMC99902	MC99902
235	TÜNEL MİKSERİ	Tünelmak	Adroit 407H	2021		7 m3	0423.M21	U312253D
236	TÜNEL MİKSERİ	Tünelmak	Adroit 407H	2021		7 m3	0456.M24	U297609C
237	MİKSER	Ford - Imer	4142M 8X4 DCAB E6 16S22	2022		12 m3 	NM0MKXTP6MME94207	ME94207
238	MİKSER	Ford - Imer	4142M 8X4 DCAB E6 16S22	2022		12 m3	NM0MKXTP6MME94271	ME94271
239	MİKSER	Ford - Imer	3542M 6x4 DCAB E6 ECO 1	2022		6 m3	NM0LKXTP6LNT91433	NT91433
240	MİKSER	Ford - Imer	3542M 6x4 DCAB E6 ECO 1	2022		6 m3	NM0LKXTP6LNT91434	NT91434
241	MİKSER	Ford - Imer	3542M 6x4 DCAB E6 ECO 1	2022		6 m3	NM0LKXTP6LNT91435	NT91435
242	MİKSER	Ford-NT	Cargo 3542M 6x4	2024		6 m3	NM0LKXTP6LRE94215	RE94215
243	MİKSER	Ford-NT	Cargo 3542M 6x4	2024		6 m3	NM0LKXTP6LRE94216	 RE94216
244	MİKSER	Ford-NT	Cargo 3542M 6x4	2024		6 m3	NM0LKXTP6LRE94217	 RE94217
245	GRAYDER	Champion 	710A	1988	110,4 kW		25679	44232362
246	GRAYDER	Hidromek	HMK 600MG	2023	160 kW		HMK600MG1PCJ0012	
247	TOPRAK SİLİNDİRİ	Dynapac	CA 51 D	1999			479848	Cat  D3208 NA
248	KOMPAKTÖR	Wacker Neuson	DPU 2550H	2011	3 kW	25 kN		1003211 108013
249	TOPRAK SİLİNDİRİ	Hidromek	HMK 130CS-3	2023	103 kW		HMK130S3JP13S3005	
250	BETON YAŞ PÜSKÜRTME	Meyco Suprema	SUPREMA	1999		14 m3/h	 M 411042	K4136045R
251	BETON YAŞ PÜSKÜRTME	Aliva	AL-5000047	1999		12 m3/h	1030	4835975
252	BETON YAŞ PÜSKÜRTME	Meyco	Altera		15 kW	6 m3/h		
253	BETON YAŞ PÜSKÜRTME	Meyco Potenza 	Potenza 	2004		30 m3/h	M 460058	99460792
254	BETON YAŞ PÜSKÜRTME	Meyco Potenza	Potenza 	2007		30 m3/h	M 460153	D6Q1-00382467
255	BETON YAŞ PÜSKÜRTME	Putzmeister-Sika	PM 407 P	2008	30 kW	20 m3/h	490700521	10681305
256	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 C	2014	45 kW	28 m3/h	0175.R23	RG38547*U555582W
257	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 C	2014	45 kW	28 m3/h	0190.R26	U212269X
258	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2017	45 kW	30 m3/h	0289.R79	NL75573*U288990C
259	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2017	45 kW	30 m3/h	0294.R83	U288988C
260	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2017	45 kW	30 m3/h	0323.R97	NL75573*U296928C
261	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2018	45 kW	30 m3/h	0371.R127	U297623C
262	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2021	45 kW	30 m3/h	0445.R162	U312267D
263	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2021	45 kW	30 m3/h	0447.R164	U312289D
264	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2021	45 kW	30 m3/h	0454.R169	U312288D
265	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2022	45 kW	30 m3/h	0487.R195	NL75573*U358470H
266	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2022	45 kW	30 m3/h	0489.R197	
267	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 420 AH	2023	37kW	22 m3/h	0511.R213	U348506G
268	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 420 AH	2023	37kW	22 m3/h	0512.R214	U348504G
269	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2021	45 kW	30 m3/h	0444.R161	U288982C
270	BETON YAŞ PÜSKÜRTME	Turbosol	Dragon15	2011	30 kW	15 m3/h	440109	D8007
271	BETON YAŞ PÜSKÜRTME	Turbosol	Dragon15	2013	30 kW	15 m3/h	440111	D8008
272	BETON YAŞ PÜSKÜRTME	Turbosol	Dragon15	2010	30 kW	15 m3/h	430501	D7894
273	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 H	2015	45 kW	30 m3/h	229.R42	U229996Y
274	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2023	45 kW	30 m3/h	0517.R219	NL75573*U366587H
275	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2023	45 kW	30 m3/h	0518.R220	
276	TELESKOBİK YÜKLEYİCİ	Manitou	MT 1440 A	2008	74,5 kW	14m, 4t	246162	RG38455 U403800P
277	TELESKOBİK YÜKLEYİCİ	Clark	-	-		-	-	-
278	TELESKOBİK YÜKLEYİCİ	Manitou	MT 1440 	2008	74,5 kW	14m, 4t	247994	RG38455 U405352P
279	TELESKOBİK YÜKLEYİCİ	Manitou	MT 732	2002		6.90 m	176333	AR 81334
280	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1440	2012	101 HP	14m, 4t	919313	NM75284 U169310W
281	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1440	2012	101 HP	14m, 4t	920847	NM75284 U167873W
282	TELESKOBİK YÜKLEYİCİ	Manitou	MMT-860L	2009			758195	
283	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1440 E3	2018	74,5 kW	14m, 4t	989206	NM75284 U299013C
284	TELESKOBİK YÜKLEYİCİ	Manitou	MT 1030 ST	2011	74,5 kW	10m, 3t	902582	NM38858 U121243V
285	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1440 E3	2020			1046059	
286	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1033	2021	74,5 kW	10m, 3,3t	1054898	NM38858 U339985F
287	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1033	2021	74,5 kW	10m, 3,3t	1059640	NM38858 U342677G
288	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1033	2021	74,5 kW	10m, 3,3t	1062750	NM38858 U346042G
289	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1033	2021	74,5 kW	10m, 3,3t	1063176	NM38858 U346508G
290	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1033	2022	74,5 kW	10m, 3,3t	C01075255	NM38858 U356483H
291	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1033	2022	74,5 kW	10m, 3,3t	T01075922	NM38858 U358301H
292	TELESKOBİK YÜKLEYİCİ	New Holland	LM 1745	2018	88 kW	16.6m, 4.5t 	NJHK37514	1608258
293	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1440	2021	74,5 kW	14m, 4t	1056639	NM75284 U339588F
294	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 1033	2022	74,5 kW	10m, 3,3t	E01082754	NM38858 U359324H
295	TELESKOBİK YÜKLEYİCİ	Manitou	MT 1840	2025	74,4 kW	18m, 4t	MAN00000C01156246	13287902
296	TELESKOBİK YÜKLEYİCİ	Manitou	MT 1840	2025	74,4 kW	18m, 4t	MAN00000K01156583	13287898
297	TELESKOBİK YÜKLEYİCİ	Manitou	MT-X 732	2013			932793	
298	MAKASLI PLATFORM	Tünelmak	Adroit 641 4x4	2015			0220	NL75573 U229993Y
299	MAKASLI PLATFORM(Belden Kırma)	Tünelmak	Adroit 641AW	2020	129 kW	2500 Kg	0427.641AW	12564339
300	MAKASLI PLATFORM(Belden Kırma)	Tünelmak	Adroit 641AW	2021	129 kW		0459.641AW	12564341
301	JENERATÖRLER	Lister	50 kVA	-	50 kVA		356/50011	-
302	JENERATÖRLER	Aksa 	AJD 98	2005	98 kVA		763581	PowerTech 4.5L
303	JENERATÖRLER	Caterpillar 	400 kVA	2004	400 kVA		9ES03213	1DZ02539
304	JENERATÖRLER	Caterpillar 	GEH 220	2006	220 kVA		OLY00000CRNS06245	WS4486N1497215
305	JENERATÖRLER	Caterpillar 	400 kVA	1998	400 kVA		9ES01480	1DZ00818
306	JENERATÖRLER	Caterpillar 	350 kVA	2004	350 kVA		HC2G00148	   1DZ07460
307	JENERATÖRLER	NK Power	MC-70	2009	70 kVA		-	-
308	JENERATÖRLER	Deutz 	37 KVA	-	37 kVA		KHD 5778442	-
309	JENERATÖRLER	Aksa	AB 110ME		8 kW		2749612	10050611
310	JENERATÖRLER	Aksa	AB 110ME		8 kW		2757332	10061011
311	JENERATÖRLER	Teksan	TJ275DW5A	2009	275 kVA		CBL1663	EDIOC002495
312	JENERATÖRLER	Teksan	TJ100PR	2009	100 kVA		9071318	HC507511T14
313	JENERATÖRLER ( Bakım Arabası)	KJ Power	5KTJT28(YD)AS	2023	28 kVA		642998	Y221204437
314	JENERATÖRLER	Qstrong	380 kVA	2015	380 kVA			15060784
315	ELEKTRİKLİ KOMPRESÖRLER	Atlas Copco	GA 160	1992	160 kW		AIF000502	001AIA488637
316	ELEKTRİKLİ KOMPRESÖRLER	Atlas Copco	GA 37 FF	2000	37 kW		AII369174	-
317	ELEKTRİKLİ KOMPRESÖRLER	Ekomak 	55 - 08	2003	55 kW	9,8 m3/dk	55081	-
318	ELEKTRİKLİ KOMPRESÖRLER	Atlas Copco	GA 160	1996	160 kW		AIF036827	-
319	ELEKTRİKLİ KOMPRESÖRLER	Atlas Copco 	GA 160	2005	160 kW		AIF000876	001AIA488500
320	ELEKTRİKLİ KOMPRESÖRLER	Ekomak 	EKO 132	2007	132 kW	23,1 m3/dk	132054	-
321	ELEKTRİKLİ KOMPRESÖRLER	Özen 	-	-	-		205053 MX	-
322	ELEKTRİKLİ KOMPRESÖRLER	Dari 	E.C.DEC 270/540-4T (400-50) CE	2008	-		640415438	540F100618
323	ELEKTRİKLİ KOMPRESÖRLER	Falcon 	F.C. 350 T.K.	2007	15 bar		127	-
324	ELEKTRİKLİ KOMPRESÖRLER	Tecom	Power 180	2007	132 kW	23,9 m3/dk	200987	
325	ELEKTRİKLİ KOMPRESÖRLER	Atlas Copco	G11P 10 400/50 FM CE	2022	11 kW	86,5 m3/saat	ITJ553934	
326	ELEKTRİKLİ KOMPRESÖRLER	Atlas Copco	G11 FF 10 400+	2022	11 kW	86,5 m3/saat	ITJ577714	
327	ELEKTRİKLİ KOMPRESÖRLER	Atlas Copco	G11P 10 400/50 FM CE	2022	11 kW	86,5 m3/saat	ITJ553935	
328	ELEKTRİKLİ KOMPRESÖRLER	Ekomak	EKO 132	2006	132 kW	14,6 m3/dk	132044	-
329	DİZEL KOMPRESÖR	Atlas Copco	XA350 	2005			ARP804928	6591494
330	DİZEL KOMPRESÖR	Rotair	MDVN-80-8bar	2007	65 kW	8 m3/dk	23021	10129851
331	DİZEL KOMPRESÖR	Atlas Copco	XAMS 287	2014	129 Kw	17,1 m3/dk	APP 355795	
332	DİZEL KOMPRESÖR	Atlas Copco	XAS 96	1998	35,4 kW	5,4 m3/dk	YA3 606241 00290936	286925
333	ANKRAJ MİNİ KAZIK	Terramec	TAB 110	2006		1100daN/m	TM-06003	8736488
334	ANKRAJ MİNİ KAZIK	FD 1600 HD 	FD 1600 HD	2006	124,8 kW	1600daN/m	6002	8911570
335	ANKRAJ MİNİ KAZIK	FD 1600 HD 	FD 1600 HD	2006	124,8 kW	1600daN/m	6004	8911126
336	HİDROLİK SONDAJ MAKİNESİ	CSK	C400	2016	45 kW		CSK-C400-017	
337	HİDROLİK SONDAJ MAKİNESİ	Teksomak	Explorer 60	2011	45 kW			
338	HİDROLİK SONDAJ MAKİNESİ	Teksomak	Explorer 60	2011	45 kW			
339	HİDROLİK SONDAJ MAKİNESİ	Teksomak	Explorer 60	2011	45 kW	500 m	08-001	QU225M4CH
340	HİDROLİK SONDAJ MAKİNESİ	Teksomak	Explorer 60	2011	45 kW	500 m	08-002	1012117105
341	MEKANİK SONDAJ MAKİNESİ	Teksomak	D-500					
342	MEKANİK SONDAJ MAKİNESİ	Teksomak	D-500					
343	ŞAFT AÇMA MAKİNASI	Rhino	1088DC	2012	300 kW		R28040	GN50/2800
344	YERÜSTÜ DELİCİ	Sandvik	DX780	2012	168 kW		112T14165-1	77000405
345	TAŞIYICI BANTLI YÜKLEYİCİ	Atlas Copco	Haggloader 10HR-B	2018	73 kW	3-4 m3/h	8997 6656 00	12050561
346	MİNİ DELGİ MAKİNASI	Tiger 	Smart Drill	2024	18,5 kW		SD240201	
347	FORKLİFT	Manitou	MI 30D	2025			MAN00000T01152806	8PS0411
348	DOZER	Caterpillar 	D6T XL	2014	200 HP		GMK01637	MYE11466
349	VİNÇ	Ford-Kardelen	3536D 6x4,KD 90000 K6	2014	360 HP	30 ton, 22m	NM0LKXTP6LEU90074 - 0038	EU90074
350	VİNÇ	Ford-Kardelen	4142 8x4, KD135000 K6	2022		45 ton	NM0MKXTP6MLY97944	LY97944
351	VİNÇ	Mercedes- Kardelen	2528 CD-KD 25000K3	2007		8 ton	NMB37532212062092 -  272	90692100652265
352	TANKER	Isuzu- DoğanTanker	NPR 10 Long	2014	155 HP	8.000 lt	NNANRRL5E02001311	218037
353	TRAKTÖR	Başak Traktör	2072A SH (TURBO)	2007			BT29500SABS000615	BT40845T000615
354	TRAKTÖR	New Holland	TD 100 D	2021			ERNTD10DPMPC00419	TTF804525C313T531624
355	TRAKTÖR	New Holland	TD 90 D	2022	65 kW		ERNTD90DLNPC02776	TTF804525B313T573698
356	TRAKTÖR	New Holland	TD 90 D	2022	65 kW		ERNTD90DCNPC01969	TTF804525B313T575317
357	KIRMA ELEME	90 'lık Kırma Eleme			396 kW			
358	BETON POMPASI	Putzmeister	Tunnel Puma MT17	1985			2185070805	-
359	BETON POMPASI	Putzmeister	BSA1408E	2007	110 kW		212202324	253404
360	BETON POMPASI	Putzmeister	BSA1408E	2007	110 kW		212202325	236167
361	BETON POMPASI	Putzmeister	BSA 1409 D	2008	118 kW	91 m3/h	212202445	8783843
362	BETON POMPASI	Putzmeister	BSA 1409 D	2012	140 kW	91 m3/h	214401159	11307681
363	BETON POMPASI	Putzmeister	BSA 1409 D	2012	140 kW	91 m3/h	214401160	11308158
364	BETON POMPASI	Tünelmak	Adroit 022C	2016	37 kW	26 m3/h	0260	
365	BETON SANTRALİ	Tümmak ( Mobil)	TS 3000 / 2000 (BS 90)	2010	2x37 Kw	90 m3/h	45	
366	ENJEKSİYON SANTRALİ	Tekson						
367	ENJEKSİYON SANTRALİ	Tekson						
368	ENJEKSİYON SANTRALİ	Kale Makine	KLS 500	2016	71,5 kW			
369	BETON KURU PÜSKÜRTME	Aliva	260	2000		5 m3/hr	-	-
370	BETON KURU PÜSKÜRTME	Aliva	250	2000		5 m3/hr	-	-
371	BETON KURU PÜSKÜRTME	Aliva	260	2000		5 m3/hr	-	-
372	BETON KURU PÜSKÜRTME	Aliva	260	2000		5 m3/hr	-	-
373	BETON KURU PÜSKÜRTME	Lasparsan	260	2000		5 m3/hr	-	-
374	BETON KURU PÜSKÜRTME	Lasparsan	260	2000		5 m3/hr	-	-
375	BETON KURU PÜSKÜRTME	Okmer	260	2000		5 m3/hr	-	-
376	BETON KURU PÜSKÜRTME	Lasparsan	260	2007		5 m3/hr	LPS-3463	-
377	BETON KURU PÜSKÜRTME	Meyco	GM	2006		5 m3/hr	   M600107	-
378	BETON KURU PÜSKÜRTME	Lasparsan	260	2000		5 m3/hr	-	-
379	BETON KURU PÜSKÜRTME	Lasparsan	LPS DSC-200	2017	8,2 kW	5-7 m3/h	17002	
380	BETON ISLAK-KURU PÜSKÜRTME	Lasparsan	LPS-DSC-700	2024	11 kW	6-12 m3/h	DSC-700-24001	
381	BETON KURU PÜSKÜRTME	Lasparsan	LPS-DSC-200	2024	8,2 kW	5-7 m3/h	DSC-200-24002	
382	BETON ISLAK-KURU PÜSKÜRTME	Lasparsan	LPS-DSC-700	2024	11 kW	12-16 m3/h	DSC-700-24004	
383	ENJEKSİYON SETLERİ	Techniwell	TWMG 57 (MX 250)	2006		   20lt/hr.	   MX 250	
