	TYPE	FIRMA	TİP	MODEL	GUC	KAPASİTE	SASE SERI NO	MOTOR SERI NO
No								
443	EKSKAVATÖR	Sumitomo	160 SH-5	2015	89,2 kW	18700 kg	SMT160A5H00BH1294	187235
444	EKSKAVATÖR	Sumitomo	160 SH-5	2015	89,2 kW	18700 kg	SMT160A5H00BH1298	
445	HİDROLİK KIRICILAR	Rammer	S25	2003		425 kg	25BCB1656	
446	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2014		870 kg	B0415	
447	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2015		870 kg	B0436	
448	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 2577	2015		1760 kg	BD127	
449	HİDROLİK KIRICILAR	Sandvik	BR 315	2015		160 kg	15181094	
450	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 4099	2011		3380 kg	A0542	
451	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2019		350 kg	A1340	
452	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2021		350 kg	A1403	
453	HİDROLİK KIRICILAR	Rammer	BR 1533	2021		870 kg	B0615	
454	HİDROLİK KIRICILAR	Vega	VB 150 (SB50)	2021		900 kg	14790 (16125)	
455	HİDROLİK KIRICILAR	Vega	VB 150 (SB50)	2021		900 kg	14793 (16187)	
456	HİDROLİK KIRICILAR	Vega	VB 150 (SB50)	2021		900 kg	14809 (….....)	
457	KAMYON	Ford	3542D 6x4 DCAB E6 ECO 1	2022	420 HP	11,5 m3	NM0LKXTP6LNT91346	NT91346
458	BAKIM ARACI	Hases	Bakım Arabası	2007				
459	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 H	2015	45 kW	30 m3/h	229.R42	U229996Y
460	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2018	45 kW	30 m3/h	0367.R124	U300466C
461	BETON YAŞ PÜSKÜRTME	Tünelmak	Adroit 450 W	2021	45 kW	30 m3/h	0444.R161	U288982C
462	ŞAFT ROBOTİK PÜSKÜRTME	Sargın	RSS 250/5	2019		5 m3/h		
463	MAKASLI PLATFORM(Belden Kırma)	Tünelmak	Adroit 641AW	2021	129 kW		0459.641AW	12564341
464	TELESKOBİK YÜKLEYİCİ	Manitou	MT 1440 	2007	74,5 KW	14m, 4t	243344	RG81374 U391344P
465	PORTAL VİNÇ	Makkon	25 / 5 t, 80/12 m	2015		25 / 5 t	1929	
466	ELEKTRİKLİ KOMPRESÖRLER	Ekomak	EKO 132	2006	132 kW	14,6 m3/dk	132044	-
467	DİZEL KOMPRESÖR	Atlas Copco	XAS96	1998	35,4 kW	5,4 m3/dk	YA3 606241 00290936	286925
